campaign_name,ad_group_name,ad_group_status,impressions,clicks,ctr,cost,conversions,cost_per_conversion
Endoscopia,Endoscopy - Core,ENABLED,13795,1693,0.1227,52120.52,202.7087,257.12
Colonoscopia,Colonoscopy - Core,ENABLED,7341,998,0.1359,38868.81,69.9094,555.99
Endoscopia,Endoscopy Prices,ENABLED,3708,1099,0.2964,31431.2,63.9511,491.49
Colonoscopia,Colonoscopy - Pricing,ENABLED,2091,575,0.275,17373.07,33.4164,519.9
CPRE,CPRE - Core,ENABLED,1424,193,0.1355,8273.37,8,1034.17
Ligadura Esofagica,Ligadura Esofagica,ENABLED,1159,89,0.0768,7704.71,4,1926.18
Colon Max Conversions,Colonoscopy - Core,ENABLED,1257,144,0.1146,6838.77,13.9978,488.56
Hemorroides,Hemorroides - Core,ENABLED,677,91,0.1344,6160.12,2,3080.06
Colon Max Conversions,Colonoscopy - Pricing,ENABLED,263,72,0.2738,2678.74,4.0022,669.31
JAN 1-14 | Leads | MX | CDMX,Colo & Endo,PAUSED,0,0,,0.0,0,
JAN 1-14 | Leads | MX | CDMX,Bariatría Cirugia,PAUSED,0,0,,0.0,0,
april-2024-obesity,Ad group 1,ENABLED,0,0,,0.0,0,
JAN 1-14 | Leads | MX | CDMX,Keyword: Manga,PAUSED,0,0,,0.0,0,
JAN 1-14 | Leads | MX | CDMX,Endoscopy Colonoscopy,PAUSED,0,0,,0.0,0,
JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,PAUSED,0,0,,0.0,0,
Endo & Colo - Merida,CPRE Merida July 2025,ENABLED,0,0,,0.0,0,
Endoscopia,Endoscopia - Calls Only,PAUSED,0,0,,0.0,0,
JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,ENABLED,0,0,,0.0,0,
General Surgery Test | JULY | MX | Merida,Hernia Inguinal Merida July 2025,ENABLED,0,0,,0.0,0,
Bariatric Test,Ad group 1,ENABLED,0,0,,0.0,0,
General Surgery Test | JULY | MX | Merida,Hernia Ventral Merida July 2025,ENABLED,0,0,,0.0,0,
General Surgery Test | JULY | MX | Merida,Vesicula Biliar Merida July 2025,ENABLED,0,0,,0.0,0,
General Surgery Test | JULY | MX | Merida,Colecistectomia Merida July 2025,ENABLED,0,0,,0.0,0,
JULY - Bariatric Test - MX - Merida,Ad group 4,ENABLED,0,0,,0.0,0,
Endo & Colo - Merida,Endoscopia Merida July 2025,ENABLED,0,0,,0.0,0,
Advanced Endoscopy July 2025,Ligadura Varices,ENABLED,0,0,,0.0,0,
Advanced Endoscopy July 2025,CPRE,ENABLED,0,0,,0.0,0,
Endoscopia,Endoscopy - Symptom,PAUSED,0,0,,0.0,0,
Cirugia Hernia,Cirugia Hernia,ENABLED,0,0,,0.0,0,
JULY - Bariatric Test - MX - Merida,Balon Gastrico Merida July 2025,ENABLED,0,0,,0.0,0,
Endo & Colo - Merida,Colonoscopia Merida July 2025,ENABLED,0,0,,0.0,0,
Endoscopia,Endoscopy - Pricing,PAUSED,0,0,,0.0,0,
JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,ENABLED,0,0,,0.0,0,
Agosto - Endo - Calls,Ad group 1,ENABLED,0,0,,0.0,0,
Agosto - Calls - Competition,Merida Competition Calls,ENABLED,0,0,,0.0,0,
Agosto - CPRE - Calls,CPRE Calls,ENABLED,0,0,,0.0,0,
Colonoscopia,Colonoscopy - Hospital,PAUSED,0,0,,0.0,0,
Agosto - Colonoscopy - Calls,Merida Core Calls,ENABLED,0,0,,0.0,0,
Bariatria,Bariatry Combined,ENABLED,0,0,,0.0,0,
Colonoscopia,Colonoscopia - Symptom,PAUSED,0,0,,0.0,0,
Agosto - Colon - Competition Calls,Competition Ad Group,ENABLED,0,0,,0.0,0,
General Surgery,General Surgery - Core,ENABLED,0,0,,0.0,0,
Bariatric Test,Ad group 1,ENABLED,0,0,,0.0,0,
Endoscopia,Endoscopy - Hospital,PAUSED,0,0,,0.0,0,
Demand Gen - Test,Ad group 1,ENABLED,0,0,,0.0,0,
Leads-Search-29,Ad group 1,ENABLED,0,0,,0.0,0,
Brand,Brand - Endoscopia del Mayab,ENABLED,0,0,,0.0,0,
Colon Max Conversions,Colonoscopy - Hospital,PAUSED,0,0,,0.0,0,
Colon Max Conversions,Colonoscopia - Symptom,PAUSED,0,0,,0.0,0,
