campaign_name,conversion_action_name,conversion_action_category,conversions,all_conversions,conversions_value
Endoscopia,Endoscopia de Mayab (web) whatsapp_click,PHONE_CALL_LEAD,184.9955,184.9955,184.9955
Colonoscopia,Endoscopia de Mayab (web) whatsapp_click,PHONE_CALL_LEAD,74.995,74.995,74.995
Endoscopia,Endoscopia de Mayab (web) phone_click,PHONE_CALL_LEAD,74.6644,74.6644,74.6644
Colonoscopia,Endoscopia de Mayab (web) phone_click,PHONE_CALL_LEAD,26.3308,26.3308,26.3308
Colon Max Conversions,Endoscopia de Mayab (web) whatsapp_click,PHONE_CALL_LEAD,14,14,14
Endoscopia,Calls – Endoscopia Ads (60s),PHONE_CALL_LEAD,7,7,7
CPRE,Endoscopia de Mayab (web) whatsapp_click,PHONE_CALL_LEAD,6,6,6
Ligadura Esofagica,Endoscopia de Mayab (web) whatsapp_click,PHONE_CALL_LEAD,3,3,3
Colon Max Conversions,Endoscopia de Mayab (web) phone_click,PHONE_CALL_LEAD,3,3,3
CPRE,Endoscopia de Mayab (web) phone_click,PHONE_CALL_LEAD,2,2,2
Colonoscopia,Calls – Endoscopia Ads (60s),PHONE_CALL_LEAD,2,2,2
Hemorroides,Endoscopia de Mayab (web) whatsapp_click,PHONE_CALL_LEAD,2,2,2
Ligadura Esofagica,Endoscopia de Mayab (web) phone_click,PHONE_CALL_LEAD,1,1,1
Colon Max Conversions,Calls – Endoscopia Ads (60s),PHONE_CALL_LEAD,1,1,1
