date,campaign_name,impressions,clicks,cost,conversions
2026-06-10,Endoscopia,185,26,854.28,6
2026-06-10,CPRE,16,4,129.56,0
2026-06-10,Colonoscopia,53,11,393.9,0
2026-06-10,Ligadura Esofagica,6,0,0.0,0
2026-06-10,Hemorroides,5,3,85.65,0
2026-06-10,Colon Max Conversions,63,8,200.25,1
2026-06-11,Endoscopia,184,21,700.03,1
2026-06-11,CPRE,10,0,0.0,0
2026-06-11,Colonoscopia,56,12,383.37,0
2026-06-11,Ligadura Esofagica,9,0,0.0,0
2026-06-11,Hemorroides,2,0,0.0,0
2026-06-11,Colon Max Conversions,71,11,375.31,1
2026-06-12,Endoscopia,176,28,675.06,0
2026-06-12,CPRE,14,1,16.17,0
2026-06-12,Colonoscopia,53,8,326.78,0.9978
2026-06-12,Ligadura Esofagica,15,1,76.69,0
2026-06-12,Hemorroides,12,2,155.58,0
2026-06-12,Colon Max Conversions,47,9,304.09,1
2026-06-13,Endoscopia,124,20,545.11,0
2026-06-13,CPRE,18,4,96.22,0
2026-06-13,Colonoscopia,55,6,279.96,0
2026-06-13,Ligadura Esofagica,9,0,0.0,0
2026-06-13,Hemorroides,11,0,0.0,0
2026-06-13,Colon Max Conversions,73,11,517.37,1.0022
2026-06-14,Endoscopia,161,25,797.67,1
2026-06-14,CPRE,13,2,187.58,0
2026-06-14,Colonoscopia,35,2,58.92,1
2026-06-14,Ligadura Esofagica,8,0,0.0,0
2026-06-14,Hemorroides,15,4,183.99,0
2026-06-14,Colon Max Conversions,66,10,458.29,0
2026-06-15,Endoscopia,303,35,1302.14,3
2026-06-15,CPRE,14,0,0.0,0
2026-06-15,Colonoscopia,70,5,219.3,0
2026-06-15,Ligadura Esofagica,15,1,40.44,0
2026-06-15,Hemorroides,24,4,183.91,0
2026-06-15,Colon Max Conversions,52,9,489.62,1
2026-06-16,Endoscopia,149,29,867.21,7
2026-06-16,CPRE,17,3,198.09,0
2026-06-16,Colonoscopia,82,5,215.19,0
2026-06-16,Ligadura Esofagica,15,1,56.1,0
2026-06-16,Hemorroides,7,1,26.39,0
2026-06-16,Colon Max Conversions,68,10,385.11,1
2026-06-17,Endoscopia,185,34,837.48,4
2026-06-17,CPRE,9,2,113.45,0
2026-06-17,Colonoscopia,92,8,389.48,0
2026-06-17,Ligadura Esofagica,10,1,46.29,0
2026-06-17,Hemorroides,10,1,26.24,0
2026-06-17,Colon Max Conversions,99,11,358.12,0
2026-06-18,Endoscopia,184,28,863.93,2.0034
2026-06-18,CPRE,14,0,0.0,0
2026-06-18,Colonoscopia,86,15,447.07,2
2026-06-18,Ligadura Esofagica,5,1,20.06,0
2026-06-18,Hemorroides,6,1,39.18,0
2026-06-18,Colon Max Conversions,79,4,223.67,0
2026-06-19,Endoscopia,201,28,765.18,2
2026-06-19,CPRE,22,3,72.25,0
2026-06-19,Colonoscopia,83,7,217.82,0
2026-06-19,Ligadura Esofagica,13,0,0.0,0
2026-06-19,Hemorroides,6,0,0.0,0
2026-06-19,Colon Max Conversions,46,12,605.97,1
2026-06-20,Endoscopia,108,18,568.23,3
2026-06-20,CPRE,9,1,26.6,0
2026-06-20,Colonoscopia,35,3,122.49,0
2026-06-20,Ligadura Esofagica,2,0,0.0,0
2026-06-20,Hemorroides,6,2,107.23,0
2026-06-20,Colon Max Conversions,51,4,297.38,0
2026-06-21,Endoscopia,92,12,340.46,0
2026-06-21,CPRE,4,1,87.03,0
2026-06-21,Colonoscopia,48,5,219.89,1
2026-06-21,Ligadura Esofagica,21,4,270.45,0
2026-06-21,Hemorroides,5,1,61.83,0
2026-06-21,Colon Max Conversions,32,7,287.9,0
2026-06-22,Endoscopia,284,37,1106.59,2.0015
2026-06-22,CPRE,25,3,115.92,0
2026-06-22,Colonoscopia,67,11,460.49,1
2026-06-22,Ligadura Esofagica,15,0,0.0,0
2026-06-22,Hemorroides,12,0,0.0,0
2026-06-22,Colon Max Conversions,58,10,485.74,1
2026-06-23,Endoscopia,180,27,1108.77,1.9991
2026-06-23,CPRE,27,4,198.78,0
2026-06-23,Colonoscopia,85,8,369.45,2
2026-06-23,Ligadura Esofagica,11,1,62.53,0
2026-06-23,Hemorroides,8,1,38.24,0
2026-06-23,Colon Max Conversions,79,3,141.01,0
2026-06-24,Endoscopia,221,25,869.73,3.003
2026-06-24,CPRE,11,1,19.82,0
2026-06-24,Colonoscopia,114,19,779.89,0
2026-06-24,Ligadura Esofagica,14,0,0.0,0
2026-06-24,Hemorroides,4,0,0.0,0
2026-06-24,Colon Max Conversions,73,18,653.97,4
2026-06-25,Endoscopia,134,23,863.83,3
2026-06-25,CPRE,24,0,0.0,0
2026-06-25,Colonoscopia,99,11,339.95,0
2026-06-25,Ligadura Esofagica,11,0,0.0,0
2026-06-25,Hemorroides,4,0,0.0,0
2026-06-25,Colon Max Conversions,36,10,386.57,2
2026-06-26,Endoscopia,163,19,562.74,3
2026-06-26,CPRE,33,4,176.18,0
2026-06-26,Colonoscopia,86,10,374.14,0
2026-06-26,Ligadura Esofagica,15,1,29.67,0
2026-06-26,Hemorroides,9,0,0.0,0
2026-06-26,Colon Max Conversions,54,9,353.19,0
2026-06-27,Endoscopia,101,21,459.57,0
2026-06-27,CPRE,19,7,167.1,1
2026-06-27,Colonoscopia,47,4,152.61,0
2026-06-27,Ligadura Esofagica,3,0,0.0,0
2026-06-27,Hemorroides,7,0,0.0,0
2026-06-27,Colon Max Conversions,45,3,186.19,0
2026-06-28,Endoscopia,109,18,444.42,0
2026-06-28,CPRE,15,3,150.39,0
2026-06-28,Colonoscopia,50,5,171.49,0
2026-06-28,Ligadura Esofagica,8,1,78.11,0
2026-06-28,Hemorroides,7,0,0.0,0
2026-06-28,Colon Max Conversions,40,6,361.68,0
2026-06-29,Endoscopia,255,37,1047.2,3
2026-06-29,CPRE,15,4,178.83,0
2026-06-29,Colonoscopia,116,13,566.14,0
2026-06-29,Ligadura Esofagica,9,0,0.0,0
2026-06-29,Hemorroides,2,1,25.19,0
2026-06-29,Colon Max Conversions,51,10,442.28,3
2026-06-30,Endoscopia,178,29,966.94,3
2026-06-30,CPRE,16,3,106.9,0
2026-06-30,Colonoscopia,86,19,740.19,2
2026-06-30,Ligadura Esofagica,11,0,0.0,0
2026-06-30,Hemorroides,12,0,0.0,0
2026-06-30,Colon Max Conversions,40,4,162.95,0
2026-07-01,Endoscopia,160,27,746.5,1.0023
2026-07-01,CPRE,16,4,139.37,0
2026-07-01,Colonoscopia,63,6,304.6,0
