keyword_text,keyword_match_type,ad_group_criterion_status,campaign_name,ad_group_name,ad_group_criterion_quality_info_quality_score,impressions,clicks,ctr,average_cpc,cost,conversions,cost_per_conversion
endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,3,10369,1111,0.1071,33.96,37725.03,101.1196,373.07
colonoscopia,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Core,3,6022,725,0.1204,42.34,30695.39,36.8328,833.37
costo de endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopy Prices,3,1468,413,0.2813,29.48,12173.62,28.1304,432.76
endoscopia precio,EXACT,ENABLED,Endoscopia,Endoscopy Prices,5,916,299,0.3264,27.49,8220.72,16.0856,511.06
colonoscopia precio,EXACT,ENABLED,Colonoscopia,Colonoscopy - Pricing,5,624,180,0.2885,33.47,6024.57,11,547.69
cuanto cuesta una endoscopia,EXACT,ENABLED,Endoscopia,Endoscopy Prices,3,611,203,0.3322,27.89,5661.81,10.3337,547.9
colonoscopia,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Core,3,1084,108,0.0996,51.39,5550.63,5,1110.13
precio de colonoscopia,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Pricing,3,613,156,0.2545,32.38,5051.01,10.0001,505.1
varices esofagicas,PHRASE,ENABLED,Ligadura Esofagica,Ligadura Esofagica,2,859,55,0.064,90.93,5001.31,3.5,1428.95
cpre,EXACT,ENABLED,CPRE,CPRE - Core,3,813,79,0.0972,54.6,4313.43,0,
operacion de hemorroides,EXACT,ENABLED,Hemorroides,Hemorroides - Core,3,390,43,0.1103,60.87,2617.59,0,
endoscopia merida,EXACT,ENABLED,Endoscopia,Endoscopy - Core,6,458,110,0.2402,22.42,2466.09,26.1178,94.42
colonoscopia merida,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Core,8,337,88,0.2611,27.07,2382.0,12.1653,195.8
cuanto cuesta endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopy Prices,3,345,82,0.2377,28.15,2307.99,3.0667,752.6
panendoscopia,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,3,833,61,0.0732,37.55,2290.31,5.2833,433.5
cpre merida,PHRASE,ENABLED,CPRE,CPRE - Core,7,355,78,0.2197,28.53,2225.41,8,278.18
estudio de colonoscopia,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Core,2,344,56,0.1628,39.15,2192.66,2,1096.33
endoscopia en merida yucatan,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,6,460,96,0.2087,22.4,2150.69,16.7777,128.19
endoscopia precio mérida,EXACT,ENABLED,Endoscopia,Endoscopy Prices,5,199,70,0.3518,28.82,2017.39,1.5014,1343.69
colonoscopia merida,EXACT,ENABLED,Colonoscopia,Colonoscopy - Core,8,293,82,0.2799,23.14,1897.78,16.5783,114.47
Ligadura Varices,PHRASE,ENABLED,Ligadura Esofagica,Ligadura Esofagica,3,211,24,0.1137,75.81,1819.46,0.5,3638.91
cepre,EXACT,PAUSED,CPRE,CPRE - Core,1,256,36,0.1406,48.18,1734.53,0,
endoscopia merida,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,6,356,59,0.1657,27.24,1606.89,10.331,155.54
cirugia de hemorroides,EXACT,ENABLED,Hemorroides,Hemorroides - Core,3,143,22,0.1538,69.17,1521.74,1,1521.74
ligadura de hemorroides,EXACT,ENABLED,Hemorroides,Hemorroides - Core,5,92,16,0.1739,90.22,1443.59,1,1443.59
cuanto cuesta una colonoscopia,EXACT,ENABLED,Colonoscopia,Colonoscopy - Pricing,3,183,49,0.2678,29.31,1436.06,1.001,1434.68
endoscopia en merida,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,7,384,66,0.1719,20.3,1339.82,12.0322,111.35
costo de colonoscopia,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Pricing,5,159,42,0.2642,27.52,1156.04,1,1156.04
colonoscopia precio,EXACT,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,3,115,25,0.2174,45.53,1138.32,1,1138.32
estudio de endoscopia,EXACT,ENABLED,Endoscopia,Endoscopy - Core,2,210,38,0.181,27.92,1060.86,2.9989,353.75
precio colonoscopia merida,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Pricing,3,207,48,0.2319,22.01,1056.5,5.9154,178.6
cuanto cuesta colonoscopia,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Pricing,3,118,42,0.3559,24.73,1038.51,0.5,2077.02
estudio de colonoscopia,EXACT,ENABLED,Colonoscopia,Colonoscopy - Core,2,223,24,0.1076,40.0,960.11,0,
endoscopia gastrointestinal,EXACT,ENABLED,Endoscopia,Endoscopy - Core,4,226,25,0.1106,37.91,947.76,0.3333,2843.28
endoscopias en merida,EXACT,ENABLED,Endoscopia,Endoscopy - Core,7,128,40,0.3125,23.4,936.05,6.6,141.83
panendoscopia precio,PHRASE,ENABLED,Endoscopia,Endoscopy Prices,3,115,27,0.2348,34.06,919.65,4.8333,190.27
colonoscopia precio merida,EXACT,ENABLED,Colonoscopia,Colonoscopy - Pricing,7,101,32,0.3168,28.11,899.66,2,449.83
Varices Esofágicas,PHRASE,ENABLED,Ligadura Esofagica,Ligadura Esofagica,3,87,10,0.1149,88.39,883.94,0,
clinica de colonoscopia,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Core,5,122,23,0.1885,32.21,740.86,2.333,317.56
endoscopia del mayab,EXACT,ENABLED,Endoscopia,Endoscopy - Core,8,161,51,0.3168,14.4,734.59,14.7811,49.7
costo de colonoscopia,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,5,64,18,0.2812,36.54,657.71,3,219.24
precio de colonoscopia,EXACT,ENABLED,Colonoscopia,Colonoscopy - Pricing,3,75,25,0.3333,26.07,651.63,2,325.81
centro endoscopico,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,2,164,23,0.1402,24.8,570.31,3.0004,190.08
colonoscopia merida,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Core,7,39,16,0.4103,34.84,557.39,4.5,123.86
estudio de colonoscopia,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Core,2,78,9,0.1154,42.47,382.19,0,
cuanto cuesta colonoscopia,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,5,25,8,0.32,39.17,313.33,0,
panendoscopia merida,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,6,46,13,0.2826,22.47,292.14,3.3333,87.64
precio colonoscopia merida,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,5,23,8,0.3478,31.83,254.62,0,
ligadura con banda elastica para hemorroides,EXACT,ENABLED,Hemorroides,Hemorroides - Core,,7,2,0.2857,110.53,221.05,0,
