search_term,status,campaign_name,ad_group_name,impressions,clicks,ctr,cost,conversions,cost_per_conversion
colonoscopia,ADDED,Colonoscopia,Colonoscopy - Core,2627,233,0.0887,9719.71,14.8328,655.29
endoscopia,ADDED,Endoscopia,Endoscopy - Core,2794,165,0.0591,6164.59,9.5845,643.19
endoscopia precio,ADDED,Endoscopia,Endoscopy Prices,681,220,0.3231,6120.26,17.3371,353.02
colonoscopia precio,ADDED,Colonoscopia,Colonoscopy - Pricing,434,118,0.2719,4039.64,7,577.09
cpre,ADDED,CPRE,CPRE - Core,561,43,0.0766,2632.7,0,
colonoscopia,ADDED,Colon Max Conversions,Colonoscopy - Core,440,43,0.0977,2458.74,4,614.68
endoscopia merida,ADDED,Endoscopia,Endoscopy - Core,330,86,0.2606,1866.76,18.8666,98.95
colonoscopia que es,NONE,Colonoscopia,Colonoscopy - Core,226,37,0.1637,1767.58,0,
cepre,ADDED,CPRE,CPRE - Core,256,36,0.1406,1734.53,0,
varices esofagicas,ADDED,Ligadura Esofagica,Ligadura Esofagica,235,14,0.0596,1108.81,0.5,2217.62
panendoscopia,ADDED,Endoscopia,Endoscopy - Core,434,30,0.0691,1004.98,4.0833,246.12
precio de una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,93,35,0.3763,920.95,4,230.24
cirugia de hemorroides,ADDED,Hemorroides,Hemorroides - Core,92,11,0.1196,916.17,1,916.17
endoscopia salud digna,NONE,Endoscopia,Endoscopy - Core,162,32,0.1975,895.67,1.1689,766.23
colonoscopia merida,ADDED,Colonoscopia,Colonoscopy - Core,149,46,0.3087,879.84,8.4949,103.57
endoscopia que es,NONE,Endoscopia,Endoscopy - Core,274,22,0.0803,848.22,0,
hemorroidectomia,NONE,Hemorroides,Hemorroides - Core,148,4,0.027,801.98,0,
precio de endoscopia,NONE,Endoscopia,Endoscopy Prices,86,29,0.3372,778.29,0,
que es una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,100,16,0.16,717.85,0,
colonoscopia precio,ADDED,Colon Max Conversions,Colonoscopy - Pricing,79,15,0.1899,703.54,0,
cuanto cuesta una endoscopia,ADDED,Endoscopia,Endoscopy Prices,96,28,0.2917,694.78,1,694.78
que es una endoscopia,NONE,Endoscopia,Endoscopy - Core,182,17,0.0934,685.62,1,685.62
precio de una endoscopia,NONE,Endoscopia,Endoscopy Prices,78,24,0.3077,665.43,0,
salud digna endoscopia precio,NONE,Endoscopia,Endoscopy Prices,64,20,0.3125,647.02,2.6667,242.63
endoscopia en merida yucatan,ADDED,Endoscopia,Endoscopy - Core,105,29,0.2762,575.45,7.1144,80.89
que es colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,81,13,0.1605,567.6,0,
endoscopia del mayab,ADDED,Endoscopia,Endoscopy - Core,135,42,0.3111,548.64,13.7811,39.81
endoscopia precio mérida yucatán,NONE,Endoscopia,Endoscopy Prices,61,20,0.3279,547.02,3.3333,164.11
precio de una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,57,17,0.2982,546.47,0,
qué es una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,31,11,0.3548,542.45,0,
colonoscopia precio salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,72,18,0.25,537.05,1.3333,402.79
como se hace una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,38,12,0.3158,528.3,0,
costo de una endoscopia,NONE,Endoscopia,Endoscopy Prices,52,20,0.3846,497.83,0,
colonoscopia salud digna,NONE,Colonoscopia,Colonoscopy - Core,76,12,0.1579,468.41,1.3333,351.31
operación de hemorroides,NONE,Hemorroides,Hemorroides - Core,29,9,0.3103,464.34,0,
endoscopia con ligadura de varices,NONE,Ligadura Esofagica,Ligadura Esofagica,5,3,0.6,461.41,0.5,922.82
que es la endoscopia,NONE,Endoscopia,Endoscopy - Core,89,12,0.1348,437.48,2,218.74
endoscopia en merida,ADDED,Endoscopia,Endoscopy - Core,119,23,0.1933,426.92,3.75,113.85
varices esofágicas,ADDED,Ligadura Esofagica,Ligadura Esofagica,34,6,0.1765,426.31,0,
precio de la endoscopia,NONE,Endoscopia,Endoscopy Prices,39,14,0.359,426.26,0,
cuánto cuesta una endoscopia,NONE,Endoscopia,Endoscopy Prices,47,16,0.3404,423.17,0,
cirugía de hemorroides,NONE,Hemorroides,Hemorroides - Core,25,6,0.24,422.03,0,
cuanto cuesta una colonoscopia,ADDED,Colonoscopia,Colonoscopy - Pricing,44,12,0.2727,391.44,1,391.44
panendoscopia que es,NONE,Endoscopia,Endoscopy - Core,142,8,0.0563,390.08,0,
endoscopía precio,NONE,Endoscopia,Endoscopy Prices,33,16,0.4848,387.46,1.5,258.31
operacion de hemorroides,ADDED,Hemorroides,Hemorroides - Core,38,10,0.2632,383.52,0,
centro endoscopico las americas,NONE,Endoscopia,Endoscopy - Core,45,14,0.3111,381.43,4.3333,88.02
colonoscopia para que sirve,NONE,Colonoscopia,Colonoscopy - Core,23,7,0.3043,374.19,0,
precio colonoscopia,ADDED,Colonoscopia,Colonoscopy - Pricing,33,12,0.3636,361.89,0,
precio endoscopia,NONE,Endoscopia,Endoscopy Prices,39,11,0.2821,360.92,0,
colonoscopia en merida,ADDED,Colonoscopia,Colonoscopy - Core,53,14,0.2642,354.61,3.0833,115.01
precio endoscopia chopo,NONE,Endoscopia,Endoscopy Prices,33,12,0.3636,349.23,0.8,436.54
ligaduras de hemorroides,NONE,Hemorroides,Hemorroides - Core,8,3,0.375,342.93,0,
precio de la colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,35,12,0.3429,340.46,0,
endoscopias en merida,ADDED,Endoscopia,Endoscopy - Core,53,15,0.283,340.17,3.1,109.73
endoscopia gastrointestinal,ADDED,Endoscopia,Endoscopy - Core,80,10,0.125,338.1,2,169.05
jm endoscopia scp,NONE,Endoscopia,Endoscopy - Core,42,12,0.2857,329.3,0,
como se ligan las varices esofagicas,NONE,Ligadura Esofagica,Ligadura Esofagica,4,2,0.5,329.06,0,
panendoscopia precio,ADDED,Endoscopia,Endoscopy Prices,37,9,0.2432,326.81,2,163.41
endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,89,9,0.1011,322.99,0,
endoscopia merida yucatan,NONE,Endoscopia,Endoscopy - Core,70,15,0.2143,313.98,1.9978,157.16
costo colonoscopia,ADDED,Colonoscopia,Colonoscopy - Pricing,26,7,0.2692,308.74,1,308.74
colonoscopia en mujeres,NONE,Colonoscopia,Colonoscopy - Core,61,8,0.1311,302.34,0,
estudio cpre,ADDED,CPRE,CPRE - Core,38,6,0.1579,298.2,0,
colonoscopia en merida yucatan,ADDED,Colonoscopia,Colonoscopy - Core,37,14,0.3784,286.24,1.832,156.24
ligadura de varices esofagicas,NONE,Ligadura Esofagica,Ligadura Esofagica,42,6,0.1429,286.17,0,
ligadura de hemorroides,ADDED,Hemorroides,Hemorroides - Core,31,4,0.129,283.97,0,
que es la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,70,5,0.0714,278.63,0,
costo de endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,22,9,0.4091,275.83,0.4,689.58
colonoscopia que es,NONE,Colon Max Conversions,Colonoscopy - Core,34,5,0.1471,269.43,0,
precio de una colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,28,12,0.4286,266.94,3,88.98
para que es una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,7,5,0.7143,263.95,0,
precio de endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,27,10,0.3704,261.51,0,
colonoscopia precios,NONE,Colonoscopia,Colonoscopy - Pricing,19,8,0.4211,252.18,0,
qué precio tiene una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,14,7,0.5,249.4,0,
salud digna colonoscopia precio,NONE,Colonoscopia,Colonoscopy - Pricing,29,6,0.2069,243.91,0,
colonoscopia que es y para que sirve,NONE,Colonoscopia,Colonoscopy - Core,21,4,0.1905,242.06,1,242.06
estudio de colonoscopia,ADDED,Colonoscopia,Colonoscopy - Core,19,5,0.2632,238.19,0,
precio de una endoscopia particular,NONE,Endoscopia,Endoscopy Prices,14,10,0.7143,237.94,0,
esofagogastroduodenoscopia,NONE,Endoscopia,Endoscopy - Core,55,8,0.1455,234.87,1,234.87
endoscopia mérida precio,NONE,Endoscopia,Endoscopy Prices,16,9,0.5625,231.34,1,231.34
endoscopía que es,NONE,Endoscopia,Endoscopy - Core,37,6,0.1622,228.83,0.5,457.66
que es la colonoscopia y como se realiza,NONE,Colonoscopia,Colonoscopy - Core,16,6,0.375,228.66,1,228.66
como se hace una endoscopia,NONE,Endoscopia,Endoscopy - Core,19,4,0.2105,225.54,0,
endoscopia y colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,32,6,0.1875,225.03,0,
que es una colonoscopia y para que sirve,NONE,Colonoscopia,Colonoscopy - Core,43,5,0.1163,221.51,0,
que es una endoscopia digestiva y para que sirve,NONE,Endoscopia,Endoscopy - Core,32,7,0.2188,220.46,1,220.46
cuánto cuesta una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,21,7,0.3333,217.09,0,
colonoscopia precio mérida,NONE,Colonoscopia,Colonoscopy - Pricing,21,7,0.3333,205.21,0,
operacion hemorroides,NONE,Hemorroides,Hemorroides - Core,12,2,0.1667,203.4,0,
