city,region,sessions,conversions
Merida,Yucatan,2765,467
(not set),Yucatan,232,62
Mexico City,Mexico City,194,21
Cancun,Quintana Roo,154,30
Kanasin,Yucatan,106,18
(not set),(not set),69,4
Valladolid,Yucatan,69,6
Tuxtla Gutierrez,Chiapas,57,5
Tizimin,Yucatan,43,3
Playa del Carmen,Quintana Roo,42,14
Uman,Yucatan,33,6
Campeche,Campeche,29,6
Progreso,Yucatan,27,5
(not set),Quintana Roo,25,5
Puebla,Puebla,23,0
Villahermosa,Tabasco,22,5
Ecatepec de Morelos,State of Mexico,20,0
Garcia,Nuevo Leon,20,3
Santiago de Queretaro,Queretaro,20,2
Guadalajara,Jalisco,19,2
(not set),Chiapas,18,1
Ciudad del Carmen,Campeche,18,0
Council Bluffs,Iowa,18,0
(not set),Queretaro,17,8
Conkal,Yucatan,17,1
Cunduacan,Tabasco,17,1
Tekax de Alvaro Obregon,Yucatan,17,4
Chetumal,Quintana Roo,16,4
Dubai,Dubai,16,0
Cuernavaca,Morelos,15,2
Izamal,Yucatan,15,5
Monterrey,Nuevo Leon,15,2
El Salto,Jalisco,14,1
Ticul,Yucatan,14,4
Calvillo,Aguascalientes,13,0
Guanajuato,Guanajuato,13,3
Motul,Yucatan,13,1
Hunucma,Yucatan,12,0
San Juan del Rio,Queretaro,12,0
(not set),California,11,3
Oxkutzcab,Yucatan,11,1
Patzcuaro,Michoacan,11,0
San Jose,California,11,0
Leon,Guanajuato,10,0
Morelia,Michoacan,10,1
Piedras Negras,Coahuila,10,2
Tepatitlan de Morelos,Jalisco,10,1
Tijuana,Baja California,10,3
Tixkokob,Yucatan,10,0
Kabul,Kabul,9,0
