date,sessions,activeUsers,conversions
20260610,47,41,16
20260611,51,46,4
20260612,42,41,4
20260613,38,33,10
20260614,40,37,8
20260615,55,51,12
20260616,43,38,7
20260617,56,48,5
20260618,41,39,4
20260619,42,37,7
20260620,30,27,4
20260621,29,24,1
20260622,50,46,6
20260623,51,46,4
20260624,62,54,27
20260625,47,39,6
20260626,38,29,23
20260627,32,29,3
20260628,31,24,0
20260629,64,56,16
20260630,49,42,8
20260701,50,39,8
20260702,50,48,0
20260703,44,39,10
20260704,45,41,3
20260705,37,31,0
20260706,55,51,12
20260707,54,50,6
20260708,72,60,17
20260709,50,48,5
20260710,63,57,8
20260711,48,41,2
20260712,52,44,8
20260713,60,54,5
20260714,77,59,17
20260715,66,60,9
20260716,69,60,5
20260717,48,44,5
20260718,34,31,2
20260719,43,38,3
20260720,76,68,14
20260721,59,54,6
20260722,72,65,9
20260723,57,51,14
20260724,54,52,4
20260725,53,47,15
20260726,47,40,8
20260727,59,52,7
20260728,55,52,7
20260729,64,57,7
20260730,69,60,13
20260731,67,57,12
20260801,34,26,6
20260802,33,33,4
20260803,73,66,16
20260804,58,48,9
20260805,58,49,3
20260806,52,46,5
20260807,67,57,8
20260808,38,29,11
20260809,37,34,2
20260810,78,70,17
20260811,65,59,17
20260812,47,40,5
20260813,83,72,21
20260814,56,52,7
20260815,41,37,8
20260816,41,37,6
20260817,62,54,37
20260818,65,55,10
20260819,67,58,15
20260820,61,55,13
20260821,64,56,7
20260822,37,35,6
20260823,47,42,7
20260824,61,52,5
20260825,57,54,10
20260826,65,59,18
20260827,58,51,13
20260828,60,54,13
20260829,41,37,2
20260830,35,33,4
20260831,59,53,12
20260901,67,59,11
20260902,85,79,7
20260903,68,65,11
20260904,43,41,4
20260905,49,43,5
20260906,51,45,5
20260907,65,57,14
