eventName,pagePath,eventCount
page_view,/lp/endoscopia,1655
cta_view,/lp/endoscopia,1502
scroll_depth,/lp/endoscopia,1457
page_view,/precios,1339
session_start,/lp/endoscopia,1197
page_view,/lp/colonoscopia,1151
cta_view,/lp/colonoscopia,1030
first_visit,/lp/endoscopia,978
session_start,/precios,898
scroll_depth,/lp/colonoscopia,887
session_start,/lp/colonoscopia,828
page_view,/endoscopia-merida,826
first_visit,/precios,769
first_visit,/lp/colonoscopia,670
page_view,/colonoscopia-merida,652
user_engagement,/lp/endoscopia,571
session_start,/endoscopia-merida,569
scroll_depth,/precios,549
page_view,/,481
first_visit,/endoscopia-merida,468
pricing_view,/,465
cta_view,/,451
user_engagement,/precios,445
session_start,/colonoscopia-merida,427
user_engagement,/lp/colonoscopia,418
first_visit,/colonoscopia-merida,348
session_start,/,304
scroll_depth,/,241
user_engagement,/endoscopia-merida,241
first_visit,/,224
scroll_depth,/endoscopia-merida,222
page_view,/cpre-merida,212
user_engagement,/colonoscopia-merida,197
scroll_depth,/colonoscopia-merida,194
scroll,/lp/endoscopia,167
whatsapp_click,/lp/endoscopia,136
click,/lp/endoscopia,135
user_engagement,/,127
session_start,/cpre-merida,124
page_view,/lp/cpre,109
scroll,/lp/colonoscopia,103
cta_view,/lp/cpre,100
first_visit,/cpre-merida,97
scroll_depth,/lp/cpre,91
appointment_form_view,/endoscopia-merida,89
scroll_depth,/dr-omar-quiroz,85
page_view,/lp/ligadura-varices,83
scroll_depth,/cpre-merida,77
session_start,/lp/cpre,76
appointment_form_view,/colonoscopia-merida,75
user_engagement,/cpre-merida,73
page_view,/dr-omar-quiroz,72
phone_click,/lp/endoscopia,66
page_view,/lp/hemorroides,65
cta_view,/lp/ligadura-varices,64
scroll_depth,/lp/ligadura-varices,64
session_start,/lp/ligadura-varices,62
whatsapp_click,/lp/colonoscopia,60
scroll_depth,/lp/hemorroides,59
page_view,/ligadura-hemorroides-internas-merida,58
click,/lp/colonoscopia,55
cta_view,/lp/hemorroides,55
first_visit,/lp/cpre,54
whatsapp_click,/endoscopia-merida,54
first_visit,/lp/ligadura-varices,53
whatsapp_click,/colonoscopia-merida,53
click,/endoscopia-merida,52
session_start,/ligadura-hemorroides-internas-merida,51
page_view,/apc-coagulacion-plasma-argon-merida,50
click,/colonoscopia-merida,49
page_view,/contacto,48
first_visit,/ligadura-hemorroides-internas-merida,46
session_start,/lp/hemorroides,46
whatsapp_click,/precios,46
scroll_depth,/ligadura-hemorroides-internas-merida,45
click,/precios,44
faq_expand,/colonoscopia-merida,44
scroll_depth,/apc-coagulacion-plasma-argon-merida,43
first_visit,/lp/hemorroides,41
session_start,/apc-coagulacion-plasma-argon-merida,37
video_play,/lp/endoscopia,34
phone_click,/lp/colonoscopia,33
user_engagement,/lp/cpre,32
click,/,31
session_start,/dr-omar-quiroz,31
whatsapp_click,/,30
first_visit,/apc-coagulacion-plasma-argon-merida,29
page_view,/ligadura-varices-esofagicas-merida,29
user_engagement,/ligadura-hemorroides-internas-merida,28
page_view,/emergencias-digestivas-merida,27
user_engagement,/lp/hemorroides,27
page_view,/ultrasonido-endoscopico-merida,26
phone_click,/endoscopia-merida,26
scroll,/,26
user_engagement,/dr-omar-quiroz,26
session_start,/ultrasonido-endoscopico-merida,25
scroll,/precios,24
page_view,/consultas-digestivas-merida,23
scroll_depth,/contacto,23
session_start,/ligadura-varices-esofagicas-merida,22
faq_expand,/endoscopia-merida,21
user_engagement,/lp/ligadura-varices,20
page_view,/retiro-balon-gastrico-merida,19
scroll_depth,/cpre-playa-del-carmen,19
first_visit,/dr-omar-quiroz,18
first_visit,/ligadura-varices-esofagicas-merida,18
scroll_depth,/dilatacion-esofagica-merida,18
first_visit,/ultrasonido-endoscopico-merida,17
page_view,/cpre-playa-del-carmen,17
scroll_depth,/emergencias-digestivas-merida,17
scroll_depth,/ultrasonido-endoscopico-merida,17
user_engagement,/apc-coagulacion-plasma-argon-merida,17
video_play,/lp/colonoscopia,17
scroll,/colonoscopia-merida,16
scroll_depth,/ligadura-varices-esofagicas-merida,16
session_start,/contacto,16
faq_expand,/,15
session_start,/retiro-balon-gastrico-merida,15
user_engagement,/contacto,14
page_view,/endoprotesis-biliares-merida,13
scroll,/endoscopia-merida,13
faq_expand,/dilatacion-esofagica-merida,12
first_visit,/contacto,12
session_start,/cpre-playa-del-carmen,12
user_engagement,/emergencias-digestivas-merida,11
appointment_cta_click,/endoscopia-merida,10
first_visit,/cpre-playa-del-carmen,10
scroll,/lp/cpre,10
scroll_depth,/consultas-digestivas-merida,10
session_start,/emergencias-digestivas-merida,10
session_start,/endoprotesis-biliares-merida,10
user_engagement,/ligadura-varices-esofagicas-merida,10
