landingPagePlusQueryString,sessions,conversions,engagementRate,userEngagementDuration,bounceRate
/lp/endoscopia,1182,226,0.6041,42063,0.3959
/precios,888,76,0.5214,29669,0.4786
/lp/colonoscopia,814,123,0.5921,39243,0.4079
/endoscopia-merida,552,94,0.4692,18888,0.5308
/colonoscopia-merida,417,105,0.4748,19637,0.5252
/,290,52,0.5724,13224,0.4276
/cpre-merida,122,13,0.4262,6013,0.5738
(not set),80,8,0.075,3060,0.925
/lp/cpre,75,16,0.64,2562,0.36
/lp/ligadura-varices,62,3,0.3871,1096,0.6129
/ligadura-hemorroides-internas-merida,50,8,0.66,4458,0.34
/lp/hemorroides,46,6,0.6087,1619,0.3913
/apc-coagulacion-plasma-argon-merida,37,5,0.5676,1612,0.4324
/dr-omar-quiroz,29,12,0.6897,3533,0.3103
/ultrasonido-endoscopico-merida,23,2,0.3913,475,0.6087
/ligadura-varices-esofagicas-merida,22,3,0.4545,973,0.5455
/contacto,16,3,0.5625,282,0.4375
/retiro-balon-gastrico-merida,15,0,0.2,431,0.8
/cpre-playa-del-carmen,12,11,0.75,1184,0.25
/emergencias-digestivas-merida,10,4,0.4,248,0.6
/endoprotesis-biliares-merida,9,1,0.3333,348,0.6667
/extraccion-cuerpos-extranos-endoscopia-merida,9,0,0.3333,172,0.6667
/consultas-digestivas-merida,8,1,0.75,573,0.25
/gastrostomia-endoscopica-peg-merida,8,1,0.375,241,0.625
/dilatacion-esofagica-merida,6,9,1,756,0
/dilatacion-biliar-merida,5,1,0.8,129,0.2
/reseccion-endoscopica-mucosa-emr-merida,4,6,0.5,561,0.5
/diseccion-endoscopica-submucosa-esd-merida,3,0,0.6667,271,0.3333
/cierre-fistulas-clips-endoscopicos-merida,2,0,1,161,0
/esclerosis-varices-gastricas-merida,2,0,0,0,1
/sutura-endoscopica-merida,2,0,1,45,0
/?_rsc=acz3b,1,0,0,0,1
/?fbclid=IwY2xjawT2iIhwZG9mAWV4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHtt9R1NUdET2M42ww4X-bPjUjR8AiGtehk8xbeXvnkZAzwqdeVORHPSItgd7_aem_1Ntshfdz5RYaafG06QU-EQ,1,0,1,2,0
/?fbclid=IwY2xjawT2jhpwZG9mBWV4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHp190WtcLhKkGwjwNS9EopxD3zatjSYNVcKbTtkLLYFK_Oo8pDRPBHcvmb7Q_aem_kJPybgqPyEzlpTAoYO1T2g,1,1,1,0,0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeL_rDvR9Z1jTvD8qqtL0C-XHUtNndaeCHviuYfzyOh9nWHWpJ-HrlPZshL8s_aem_CrAVAO7GP8HFuMPfDisGOQ,1,0,1,4,0
/?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5KjEKc1xlgzeVCc_IzIg3pBgtCkF1PVzg11x1hVr1FEl_fJ_SWbzVVu48GVw_aem_lSYJKGQMv3VPGJ3iq80Wlw,1,0,1,7,0
/?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5sS-l3yPRZrGUa7lylzorVkhRkxwaUBLFEsOt-1DpW1_073yeutJMBBj_Crw_aem_cI2MXoHDiHePB8QfyU0zqg,1,0,1,4,0
/?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR7gO3EDflCDM2ZmIhujAwgPsACBY4od6Pq1Mt_JYhlin9eDv_Ef61ZjWTQ_HQ_aem_TW1m5vMGZVoCmzaXCbj5Pg,1,0,1,7,0
/dilatacion-colonica-merida,1,0,0,0,1
/endoprotesis-duodenales-merida,1,0,0,0,1
/endoprotesis-esofagicas-merida,1,0,0,0,1
/endoscopia-merida?fbclid=IwY2xjawSgDb5leHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR6B-NPOCSHAHIsNYK6Y_ZTTJCy97bwDJR1W5IPYc9diIlI-kmTOlUav11AG2A_aem_wF1I9kM5OiYvYt7gzGBjVQ,1,0,0,0,1
/endoscopia-merida?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeJM22MQ1KPb52EYvmLhNaKNtS1oXEKa9ZKrJPV8B_V_R31c0YK634e1wB2hU_aem_IVVjfUkMjPMG7xK1u5rlOg,1,0,1,3,0
/endoscopia-merida?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEegMKJuLJHIZ_E2dmwPqK6CaPh4TAYgKOVVmL-kcLf3oGOpIIGpdeofZSkiYg_aem_FZDJWnAPW2fyeBje7KzrZg,1,0,1,7,0
