pagePath,screenPageViews,sessions,conversions,userEngagementDuration
/lp/endoscopia,1655,1286,231,38178
/precios,1339,1167,56,28506
/lp/colonoscopia,1151,870,110,32437
/endoscopia-merida,826,696,106,24462
/colonoscopia-merida,652,536,115,24235
/,481,418,54,12142
/cpre-merida,212,175,19,9866
/lp/cpre,109,87,12,1811
/lp/ligadura-varices,83,72,4,1358
/dr-omar-quiroz,72,61,15,3959
/lp/hemorroides,65,53,5,1441
/ligadura-hemorroides-internas-merida,58,56,9,4878
/apc-coagulacion-plasma-argon-merida,50,38,5,1578
/contacto,48,44,5,1367
/ligadura-varices-esofagicas-merida,29,26,3,1063
/emergencias-digestivas-merida,27,23,6,671
/ultrasonido-endoscopico-merida,26,27,3,537
/consultas-digestivas-merida,23,21,1,435
/retiro-balon-gastrico-merida,19,17,0,588
/cpre-playa-del-carmen,17,17,11,1148
/endoprotesis-biliares-merida,13,11,0,348
/dilatacion-esofagica-merida,9,8,12,841
/extraccion-cuerpos-extranos-endoscopia-merida,9,9,0,172
/gastrostomia-endoscopica-peg-merida,9,9,1,333
/dilatacion-biliar-merida,6,6,1,168
/reseccion-endoscopica-mucosa-emr-merida,6,4,6,464
/capsula-endoscopica-merida,5,6,0,174
/diseccion-endoscopica-submucosa-esd-merida,4,3,0,97
/esclerosis-varices-gastricas-merida,3,3,0,1
/cierre-fistulas-clips-endoscopicos-merida,2,2,0,161
/dilatacion-colonica-merida,2,2,0,82
/endoprotesis-esofagicas-merida,2,2,0,9
/lp/ligadura-hemorroides,2,2,0,5
/sutura-endoscopica-merida,2,2,0,45
/endoprotesis-duodenales-merida,1,1,0,0
/lp,1,1,0,1
