code,gclid,fbclid,utm_source,utm_medium,utm_campaign,utm_term,service,page_path,created
EDM-PZR2Q2,Cj0KCQjwjvfSBhDpARIsAEiOpSuC9rtR6isf7VtWERQV79rRa232t0GF4xJMcXsyO0X42_nmi1VSRoQaAhcMEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-21T01:57:44.042Z
EDM-63R2H8,Cj0KCQjwjvfSBhDpARIsAEiOpSvlFf7dyi8OSuPWE88H4rk7qQdZHhv6XmWaqtKOW_uP6_N_XCkzPvAaAryeEALw_wcB,,,,,,colonoscopia,/lp/colonoscopia,2026-07-21T00:14:20.858Z
EDM-X3B2Y5,Cj0KCQjwjvfSBhDpARIsAEiOpSvSOkJKGYYxiWuu4o7yZgtAq_7nDCubTHRvYYuD-1funaHDqv1sEeEaAjBjEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-20T21:43:55.548Z
EDM-ZGYDF6,Cj0KCQjwjvfSBhDpARIsAEiOpStNNYtsQSaB1jMjW0UepE1px9t1O_A-Y--KsDPnoWc15l1wYdDO5Y4aAkJcEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-20T18:00:06.174Z
EDM-7P9DHP,Cj0KCQjwjvfSBhDpARIsAEiOpSsDu0KDWVdUB_XY_EuYAM--CSKwcYJXK3LjoMTkeBb6iSlhlpyLTL0aAoVLEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-20T14:31:31.236Z
EDM-GR8Q6U,Cj0KCQjwjvfSBhDpARIsAEiOpSsq0-jLkFpgFBE-5L7wXLKd4Sor-Kxm7InG2oefC4-lvruRENywRnwaAk8VEALw_wcB,,,,,,global,/precios,2026-07-20T14:15:30.432Z
EDM-YQQZRW,CjwKCAjwyOzSBhBTEiwAmxvJ-lgwnX8ibQ-sGuPsZ6SZKdnz_di7ExJvvN4wRiV8fy5w0YPblbsN_BoC2b4QAvD_BwE,,,,,,endoscopia,/precios,2026-07-20T13:12:23.423Z
EDM-L5ZK32,CjwKCAjwpefSBhBvEiwAzyEtZ5CxbcDvXa8_rlkyYIYiFLN7Sj7u2u3G-DI6dGAov6NNaPCxHORbNhoCKpYQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-19T13:26:50.327Z
EDM-XQS28M,CjwKCAjwyOzSBhBTEiwAmxvJ-icW3tQn1Fa6Nfql57W4b0KIJQ7ofDnGifXl0N1oPjN7S2MGUURy5BoCDkgQAvD_BwE,,,,,,cpre,/precios,2026-07-19T01:33:40.487Z
EDM-58LN54,CjwKCAjwyOzSBhBTEiwAmxvJ-opdZTHsHXieVFrZtr2I05-f6BNYQrzaL231urGjAVA0q6Eim5eoAhoCwPkQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-19T00:41:42.982Z
EDM-A7QQV3,CjwKCAjwpefSBhBvEiwAzyEtZ0pxZTkA-S61kYYjSkv166DY25YuxBLfZvoBE100hYcjnEe9e5OoPBoC1bcQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-17T21:35:54.035Z
EDM-ZRXS5F,,,,,,,endoscopia,/endoscopia-merida,2026-07-17T18:12:50.786Z
EDM-5ATEUW,Cj0KCQjwguLSBhDLARIsAH-yPrG8DY-uzjjFLOdGon2g9kU0n-9Gj612_mLKrlQPSg8iTG_xb3hyXWQaArCrEALw_wcB,,,,,,endoscopia,/precios,2026-07-17T00:02:41.512Z
EDM-TMZ2DG,Cj0KCQjwguLSBhDLARIsAH-yPrEHBIWJECBQ5XLZZOUtG1JeGQSHa4kDTjiz_X2tfVc1LwtjvUCr00caAmISEALw_wcB,,,,,,cpre,/lp/cpre,2026-07-16T17:55:34.014Z
EDM-8QXRK4,Cj0KCQjwguLSBhDLARIsAH-yPrHBrCYnE70NfDL0bpFZ2xSpmEbZ1AH4f4JFiUr3Hstz9bPxXnAY4ZwaArXFEALw_wcB,,,,,,endoscopia,/precios,2026-07-16T17:37:51.359Z
EDM-BRN43B,Cj0KCQjwguLSBhDLARIsAH-yPrFwJp6kgM83W5yUmaQ_kI3NW2X4MdUu7Ef7Dh_G5Ppl-xQ9i__xeJ0aAk_oEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-16T16:33:52.982Z
EDM-5KRYDQ,Cj0KCQjwguLSBhDLARIsAH-yPrF-dZGTYFgjvxpyF7dxAhYxrUNC1a8ZDdfWsBlXIhHP_11VjHMyfbMaAilYEALw_wcB,,,,,,homepage,/,2026-07-16T16:25:36.845Z
EDM-CKV7H5,Cj0KCQjw39zSBhDhARIsANammDsIjYhsbl2b0bhDobEG4_TIeiXTbKDLpBgxDlIPlFD9cFrjnwttV98aAkHKEALw_wcB,,,,,,colonoscopia,/lp/colonoscopia,2026-07-15T17:30:56.760Z
EDM-36HT6J,Cj0KCQjw39zSBhDhARIsANammDtB9fARzLJ4SFQWgVP67W-fOMH5B_cMFVDUOVoQaV-5Ny6XtPR8nusaAmhLEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-15T16:19:18.155Z
EDM-JA9SHD,EAIaIQobChMI-bLZ_PzUlQMVRSRECB3lfA-uEAAYASAAEgIASvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-15T15:18:19.866Z
EDM-XXZMBQ,Cj0KCQjw39zSBhDhARIsANammDtWF5zB0iXERTDFhFcp4cwOgj7M6tNeQ3QK4YoCLxMlY6xoMFkg7CoaAmT0EALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-15T15:09:27.766Z
EDM-37MTD9,Cj0KCQjw39zSBhDhARIsANammDvfieqpQeid-LOf9SBpbPXHkockOlcCXeR8Z6jmqb-AbK5bSkhlLk0aAjDjEALw_wcB,,,,,,cpre,/lp/cpre,2026-07-15T14:58:41.627Z
EDM-HXD5PA,CjwKCAjwvNfSBhBiEiwAyaGMCQxWQ9upFJ3Fm4vZ4QpUBlwwGziO9PiD2ipbbaLwBVQ9wNpDkIEwihoCsYUQAvD_BwE,,,,,,endoscopia,/precios,2026-07-15T01:03:35.650Z
EDM-L9E25W,CjwKCAjwvNfSBhBiEiwAyaGMCZ5RweY0r_bFhvyh4DtF7QeNQ48AnxU5OayRqdrlWwBybqhhlC9GhBoCySoQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T21:16:52.359Z
EDM-TWGDGG,CjwKCAjwvNfSBhBiEiwAyaGMCamTM1PIfxDPyRzaIMGhPTNvivZAwZeb6h1ZiSwAtLxN11ZEcZVkKBoC-jcQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T20:16:11.861Z
EDM-T5YYGY,CjwKCAjwvNfSBhBiEiwAyaGMCc0HeA3Y0UqK0o3DF1onWoVVuhfpZA78uz383t4E6vRIlri7NhVvdBoCAoIQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T17:23:09.964Z
EDM-2U79Q8,EAIaIQobChMIxczS_snSlQMVwSzUAR1e8SfuEAAYASAAEgL_lvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T16:23:59.685Z
EDM-P5YNFG,CjwKCAjwvNfSBhBiEiwAyaGMCXQXtOWsPCXGN0o7voVopKcd0ZHJHorBEMPIcwKqkZS1IPehvWn2NxoCm3EQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T15:52:54.443Z
EDM-KHQUZX,CjwKCAjwvNfSBhBiEiwAyaGMCc0HeA3Y0UqK0o3DF1onWoVVuhfpZA78uz383t4E6vRIlri7NhVvdBoCAoIQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T15:37:41.259Z
